Country,Life satisfaction,GDP per capita (USD)
Portugal,5.4,23556.8562074936
Russia,5.8,23647.2665058004
Estonia,5.7,23695.4929298202
Lithuania,5.9,23942.7603567557
Russia,5.8,23961.2202930302
Poland,6.1,23996.1397804791
Chile,6.5,24006.8123342896
Latvia,5.9,24060.9857720536
Hungary,5.6,24102.0136912384
Turkey,5.5,24117.6584669162
Slovenia,5.9,24155.3293187793
Chile,6.5,24173.0649373598
Greece,5.4,24205.9004860895
Greece,5.4,24306.5523995951
Hungary,5.6,24355.7819172586
Portugal,5.4,24391.1998484727
Hungary,5.6,24427.6287331225
Chile,6.5,24440.4152640857
Chile,6.5,24470.7036236997
Chile,6.5,24531.3577390249
Portugal,5.4,24560.3570613836
Greece,5.4,24566.7037885767
Portugal,5.4,24642.5996159056
Latvia,5.9,24711.1074481853
Greece,5.4,24744.6283338647
Hungary,5.6,24754.2259132575
Greece,5.4,24761.0447631909
Turkey,5.5,24881.7277916793
Latvia,5.9,24881.9087718444
Russia,5.8,24887.8527197651
Portugal,5.4,24930.4506344601
Greece,5.4,24965.6240705897
Chile,6.5,24967.5802124165
Hungary,5.6,24971.4773629145
Russia,5.8,24972.0784933004
Chile,6.5,25028.9099914542
Poland,6.1,25124.2763632735
Hungary,5.6,25284.3700544339
Latvia,5.9,25294.3887250425
Hungary,5.6,25377.0522205332
Latvia,5.9,25387.0076467731
Estonia,5.7,25390.753967296
Slovenia,5.9,25425.2845072376
Poland,6.1,25457.2064583733
Hungary,5.6,25477.9492943916
Russia,5.8,25488.0961196394
Russia,5.8,25490.7082574641
Portugal,5.4,25523.7060223176
Greece,5.4,25567.256463237
Poland,6.1,25759.339150716
Hungary,5.6,25792.7025200493
Lithuania,5.9,25835.3680157114
Russia,5.8,25926.4438539743
Russia,5.8,25933.2926590626
Turkey,5.5,25958.6407622392
Lithuania,5.9,25968.5834234521
Russia,5.8,26057.1553085019
Estonia,5.7,26093.1591109829
Estonia,5.7,26133.3818108942
Slovenia,5.9,26281.0684547863
Portugal,5.4,26318.9751263398
Russia,5.8,26332.3966497152
Turkey,5.5,26385.0019383343
Hungary,5.6,26424.7204043413
Russia,5.8,26456.3879381321
New Zealand,7.3,26466.6734593338
New Zealand,7.3,26479.0418976518
Greece,5.4,26582.2975174295
Latvia,5.9,26621.2722286526
Poland,6.1,26649.577276004
Russia,5.8,26656.4095416865
Lithuania,5.9,26784.8800343204
Ireland,7.0,26793.492275384
Slovenia,5.9,27083.7247430352
Ireland,7.0,27153.9449962532
Russia,5.8,27210.5459977867
Greece,5.4,27287.0834009302
Lithuania,5.9,27330.8959483858
Portugal,5.4,27354.8368117354
Greece,5.4,27465.015740047
Hungary,5.6,27499.3244662857
Latvia,5.9,27503.1773004104
Spain,6.3,27543.9192440024
Poland,6.1,27797.0584233597
Greece,5.4,27797.5447288899
New Zealand,7.3,27852.0350173847
Spain,6.3,27859.5430424821
Ireland,7.0,27870.9742666944
Turkey,5.5,27913.8187158996
Slovenia,5.9,27998.4553568224
New Zealand,7.3,28086.824130814
Estonia,5.7,28159.5802675351
Hungary,5.6,28170.8213622975
Spain,6.3,28173.3872449524
Greece,5.4,28178.6902062824
Turkey,5.5,28199.0515906708
Greece,5.4,28200.5561608836
Greece,5.4,28226.9072784414
Greece,5.4,28248.1259561464
Spain,6.3,28296.2556750477
Turkey,5.5,28312.6834243604
Israel,7.2,28338.1521496227
Greece,5.4,28374.676952114
